"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUS","GDP","TOT","USD_CAP","A","2017",51297.139196,
"AUS","GDP","TOT","USD_CAP","A","2018",53700.680893,
"AUS","GDP","TOT","USD_CAP","A","2019",55961.855719,"E"
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52659.767807,
"AUT","GDP","TOT","USD_CAP","A","2017",54511.590833,
"AUT","GDP","TOT","USD_CAP","A","2018",56837.722049,
"AUT","GDP","TOT","USD_CAP","A","2019",58942.642414,
"BEL","GDP","TOT","USD_CAP","A","2015",46214.082208,
"BEL","GDP","TOT","USD_CAP","A","2016",48594.293664,
"BEL","GDP","TOT","USD_CAP","A","2017",50616.066461,
"BEL","GDP","TOT","USD_CAP","A","2018",52350.732464,
"BEL","GDP","TOT","USD_CAP","A","2019",54900.13493,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48633.836154,
"CAN","GDP","TOT","USD_CAP","A","2018",50077.786708,
"CAN","GDP","TOT","USD_CAP","A","2019",51341.714241,
"CZE","GDP","TOT","USD_CAP","A","2015",33918.407402,
"CZE","GDP","TOT","USD_CAP","A","2016",36097.639052,
"CZE","GDP","TOT","USD_CAP","A","2017",38991.629903,
"CZE","GDP","TOT","USD_CAP","A","2018",41049.345804,
"CZE","GDP","TOT","USD_CAP","A","2019",43301.123753,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.305043,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55516.7128,
"DNK","GDP","TOT","USD_CAP","A","2018",57408.513808,
"DNK","GDP","TOT","USD_CAP","A","2019",60194.514128,
"FIN","GDP","TOT","USD_CAP","A","2015",42501.611531,
"FIN","GDP","TOT","USD_CAP","A","2016",44929.949421,
"FIN","GDP","TOT","USD_CAP","A","2017",47501.752555,
"FIN","GDP","TOT","USD_CAP","A","2018",49376.600849,
"FIN","GDP","TOT","USD_CAP","A","2019",51414.02997,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42851.615696,
"FRA","GDP","TOT","USD_CAP","A","2017",44693.757759,
"FRA","GDP","TOT","USD_CAP","A","2018",46397.964403,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",49144.871038,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47622.331224,
"DEU","GDP","TOT","USD_CAP","A","2016",50574.374725,
"DEU","GDP","TOT","USD_CAP","A","2017",53254.666043,
"DEU","GDP","TOT","USD_CAP","A","2018",54652.832717,
"DEU","GDP","TOT","USD_CAP","A","2019",56305.204166,
"GRC","GDP","TOT","USD_CAP","A","2015",26728.078225,
"GRC","GDP","TOT","USD_CAP","A","2016",27468.443358,
"GRC","GDP","TOT","USD_CAP","A","2017",28594.11137,
"GRC","GDP","TOT","USD_CAP","A","2018",29534.90611,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",30698.47133,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26784.655063,
"HUN","GDP","TOT","USD_CAP","A","2016",27908.845415,
"HUN","GDP","TOT","USD_CAP","A","2017",29832.097283,
"HUN","GDP","TOT","USD_CAP","A","2018",32085.979479,
"HUN","GDP","TOT","USD_CAP","A","2019",34502.977003,"P"
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"ISL","GDP","TOT","USD_CAP","A","2017",55562.426662,
"ISL","GDP","TOT","USD_CAP","A","2018",57745.588159,
"ISL","GDP","TOT","USD_CAP","A","2019",60180.127409,
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"IRL","GDP","TOT","USD_CAP","A","2017",78211.410456,
"IRL","GDP","TOT","USD_CAP","A","2018",84575.437304,
"IRL","GDP","TOT","USD_CAP","A","2019",88496.484165,
"ITA","GDP","TOT","USD_CAP","A","2015",36909.296843,
"ITA","GDP","TOT","USD_CAP","A","2016",39922.933208,
"ITA","GDP","TOT","USD_CAP","A","2017",41784.603781,
"ITA","GDP","TOT","USD_CAP","A","2018",42908.651993,
"ITA","GDP","TOT","USD_CAP","A","2019",44217.701658,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",39990.049446,
"JPN","GDP","TOT","USD_CAP","A","2017",40884.616367,
"JPN","GDP","TOT","USD_CAP","A","2018",41363.670243,
"JPN","GDP","TOT","USD_CAP","A","2019",43278.53872,"E"
"KOR","GDP","TOT","USD_CAP","A","2015",37907.460937,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"KOR","GDP","TOT","USD_CAP","A","2017",41000.995844,
"KOR","GDP","TOT","USD_CAP","A","2018",42240.271393,
"KOR","GDP","TOT","USD_CAP","A","2019",43143.101305,"P"
"LUX","GDP","TOT","USD_CAP","A","2015",103787.967646,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"LUX","GDP","TOT","USD_CAP","A","2017",112701.659716,
"LUX","GDP","TOT","USD_CAP","A","2018",116622.236253,
"LUX","GDP","TOT","USD_CAP","A","2019",120979.704436,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"MEX","GDP","TOT","USD_CAP","A","2017",20022.661214,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20659.867277,"E"
"MEX","GDP","TOT","USD_CAP","A","2019",20703.388782,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NLD","GDP","TOT","USD_CAP","A","2017",55348.891835,
"NLD","GDP","TOT","USD_CAP","A","2018",57560.090716,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",59512.487141,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37403.074775,
"NZL","GDP","TOT","USD_CAP","A","2016",39906.374216,
"NZL","GDP","TOT","USD_CAP","A","2017",41556.325496,
"NZL","GDP","TOT","USD_CAP","A","2018",42621.539204,"P"
"NZL","GDP","TOT","USD_CAP","A","2019",43774.488674,"E"
"NOR","GDP","TOT","USD_CAP","A","2015",60368.910038,
"NOR","GDP","TOT","USD_CAP","A","2016",58917.28833,
"NOR","GDP","TOT","USD_CAP","A","2017",62940.203039,
"NOR","GDP","TOT","USD_CAP","A","2018",67639.112065,
"NOR","GDP","TOT","USD_CAP","A","2019",66830.56915,
"POL","GDP","TOT","USD_CAP","A","2015",26529.036797,
"POL","GDP","TOT","USD_CAP","A","2016",27947.390312,
"POL","GDP","TOT","USD_CAP","A","2017",29801.809392,
"POL","GDP","TOT","USD_CAP","A","2018",31471.211131,
"POL","GDP","TOT","USD_CAP","A","2019",33844.149463,
"PRT","GDP","TOT","USD_CAP","A","2015",29668.804155,
"PRT","GDP","TOT","USD_CAP","A","2016",31604.417531,
"PRT","GDP","TOT","USD_CAP","A","2017",33086.07203,
"PRT","GDP","TOT","USD_CAP","A","2018",34488.579276,
"PRT","GDP","TOT","USD_CAP","A","2019",36579.19887,"P"
"SVK","GDP","TOT","USD_CAP","A","2015",29935.711272,
"SVK","GDP","TOT","USD_CAP","A","2016",29656.335326,
"SVK","GDP","TOT","USD_CAP","A","2017",30916.272766,
"SVK","GDP","TOT","USD_CAP","A","2018",32542.884764,
"SVK","GDP","TOT","USD_CAP","A","2019",34072.070002,
"ESP","GDP","TOT","USD_CAP","A","2015",34938.581464,
"ESP","GDP","TOT","USD_CAP","A","2016",37309.865924,
"ESP","GDP","TOT","USD_CAP","A","2017",39626.471502,
"ESP","GDP","TOT","USD_CAP","A","2018",40611.378989,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",42170.627375,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",49116.236552,
"SWE","GDP","TOT","USD_CAP","A","2016",50425.08065,
"SWE","GDP","TOT","USD_CAP","A","2017",52739.003235,
"SWE","GDP","TOT","USD_CAP","A","2018",53746.798974,
"SWE","GDP","TOT","USD_CAP","A","2019",55855.530924,
"CHE","GDP","TOT","USD_CAP","A","2015",63938.958241,
"CHE","GDP","TOT","USD_CAP","A","2016",65720.161893,
"CHE","GDP","TOT","USD_CAP","A","2017",67139.04087,
"CHE","GDP","TOT","USD_CAP","A","2018",69357.504185,
"CHE","GDP","TOT","USD_CAP","A","2019",70985.543852,
"TUR","GDP","TOT","USD_CAP","A","2015",25862.850037,
"TUR","GDP","TOT","USD_CAP","A","2016",26693.212825,
"TUR","GDP","TOT","USD_CAP","A","2017",28417.615824,
"TUR","GDP","TOT","USD_CAP","A","2018",28713.841872,
"TUR","GDP","TOT","USD_CAP","A","2019",28424.254339,
"GBR","GDP","TOT","USD_CAP","A","2015",42583.075718,
"GBR","GDP","TOT","USD_CAP","A","2016",44121.077918,
"GBR","GDP","TOT","USD_CAP","A","2017",45923.363283,
"GBR","GDP","TOT","USD_CAP","A","2018",46918.226971,
"GBR","GDP","TOT","USD_CAP","A","2019",48725.419773,
"USA","GDP","TOT","USD_CAP","A","2015",56812.535433,
"USA","GDP","TOT","USD_CAP","A","2016",57977.387518,
"USA","GDP","TOT","USD_CAP","A","2017",60056.482591,
"USA","GDP","TOT","USD_CAP","A","2018",62949.281692,
"USA","GDP","TOT","USD_CAP","A","2019",65143.415518,"E"
"CHL","GDP","TOT","USD_CAP","A","2015",22593.272962,
"CHL","GDP","TOT","USD_CAP","A","2016",22624.825752,
"CHL","GDP","TOT","USD_CAP","A","2017",23597.457218,
"CHL","GDP","TOT","USD_CAP","A","2018",24710.818532,
"CHL","GDP","TOT","USD_CAP","A","2019",25040.966626,
"CHN","GDP","TOT","USD_CAP","A","2015",12946.311085,
"CHN","GDP","TOT","USD_CAP","A","2016",13533.786406,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2015",13464.697977,
"COL","GDP","TOT","USD_CAP","A","2016",14196.118441,
"COL","GDP","TOT","USD_CAP","A","2017",14625.512565,
"COL","GDP","TOT","USD_CAP","A","2018",15355.003301,"P"
"COL","GDP","TOT","USD_CAP","A","2019",16100.626884,"E"
"EST","GDP","TOT","USD_CAP","A","2015",29444.318328,
"EST","GDP","TOT","USD_CAP","A","2016",31571.257534,
"EST","GDP","TOT","USD_CAP","A","2017",33983.453381,
"EST","GDP","TOT","USD_CAP","A","2018",36299.86464,
"EST","GDP","TOT","USD_CAP","A","2019",38967.753586,
"IND","GDP","TOT","USD_CAP","A","2015",5577.186655,
"IND","GDP","TOT","USD_CAP","A","2016",5901.594939,
"IDN","GDP","TOT","USD_CAP","A","2015",10364.08574,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.811127,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2015",35486.09363,
"ISR","GDP","TOT","USD_CAP","A","2016",37815.960223,
"ISR","GDP","TOT","USD_CAP","A","2017",38918.047773,
"ISR","GDP","TOT","USD_CAP","A","2018",40255.120085,
"ISR","GDP","TOT","USD_CAP","A","2019",42160.117805,
"RUS","GDP","TOT","USD_CAP","A","2015",24085.312853,
"RUS","GDP","TOT","USD_CAP","A","2016",24125.394343,
"RUS","GDP","TOT","USD_CAP","A","2017",26005.967564,
"RUS","GDP","TOT","USD_CAP","A","2018",28763.522294,
"RUS","GDP","TOT","USD_CAP","A","2019",29174.626157,
"SVN","GDP","TOT","USD_CAP","A","2015",31640.32549,
"SVN","GDP","TOT","USD_CAP","A","2016",33939.339352,
"SVN","GDP","TOT","USD_CAP","A","2017",36679.686236,
"SVN","GDP","TOT","USD_CAP","A","2018",38876.86303,
"SVN","GDP","TOT","USD_CAP","A","2019",40962.497482,
"ZAF","GDP","TOT","USD_CAP","A","2015",12695.428681,
"ZAF","GDP","TOT","USD_CAP","A","2016",12720.080751,
"ZAF","GDP","TOT","USD_CAP","A","2017",12810.965544,
"EU28","GDP","TOT","USD_CAP","A","2015",38759.651236,
"EU28","GDP","TOT","USD_CAP","A","2016",41009.480874,
"EU28","GDP","TOT","USD_CAP","A","2017",43248.350037,
"EU28","GDP","TOT","USD_CAP","A","2018",44747.600531,
